NIRE,Empresa,Município,Month,Year,Type
35101101812,SALVADOR ZAVAGLIA,SÃO CARLOS,3,1972,Empresario
35101116909,MIYOJI KAYO,,3,1972,Empresario
35101129431,MANOEL FORTUNATO FILHO,,3,1972,Empresario
35101131487,KAZUHIKO ONISHI,,3,1972,Empresario
35101500288,ADIB SAGUIR,,3,1972,Empresario
35101505123,YASUSADA YAKABI FEIRANTE,,3,1972,Empresario
35101506278,PEDRO NOBUO HAMAMOTO,CARAPICUÍBA,3,1972,Empresario
35101513401,MANOEL ELESBAO DOS SANTOS,CASTILHO,3,1972,Empresario
35101517971,JUN INOHARA,,3,1972,Empresario
35101518187,GALDINO PEREIRA DA CONCEICAO,JACAREÍ,3,1972,Empresario
35101536291,OSWALDO DUCATI,PIRACICABA,3,1972,Empresario
35101542371,OSVALDO DEL FIOL,,3,1972,Empresario
35101913116,PEDRO REIS DA SILVA,IACANGA,3,1972,Empresario
35101925190,GILDA ANGELINA LOCCI,SÃO PAULO,3,1972,Empresario
35101926374,HISAKAZU NAGASUE,,3,1972,Empresario
35101927273,RAUL URBANO,RIO DAS PEDRAS,3,1972,Empresario
35104001576,A.A.S.PEREIRA,,3,1972,Empresario
35104160119,AHMAD HUSSEIN EL GHANDOUR,SÃO PAULO,3,1972,Empresario
35104298595,ALZIRA DE PAULA NOGUEIRA,,3,1972,Empresario
35104419929,ANTONIA OZELOTO LEMES,VOTUPORANGA,3,1972,Empresario
35104476752,ANTONIO CASIMIRO MORAIS,,3,1972,Empresario
35104622627,ANTONIO PEREZ FILHO,CAMPINAS,3,1972,Empresario
35104681526,APARECIDA M DE FREITAS,PIRACICABA,3,1972,Empresario
35104785241,ARY LOPES GARCIA,,3,1972,Empresario
35104821867,AUREO SOARES AGULHA,SÃO PAULO,3,1972,Empresario
35104883170,BENEDITO DE SOUZA ILHA SOLTEIRA,ILHA SOLTEIRA,3,1972,Empresario
35105066981,CHINCO KANASIRO,SÃO PAULO,3,1972,Empresario
35105089078,CLAUDINEZ ARICE,JACAREÍ,3,1972,Empresario
35105127361,COSMO TABAIN KOLE,SÃO PAULO,3,1972,Empresario
35105158649,DANILO LUSTOSA PINTO,CAMPINAS,3,1972,Empresario
35105232288,DIVINO PEDRO FILHO,,3,1972,Empresario
35105267723,DORIVAL DE SOUZA,JACAREÍ,3,1972,Empresario
35105284199,DURVAL LUONGO,SÃO PAULO,3,1972,Empresario
35105302405,EDEMIR RIBEIRO,JUNDIAÍ,3,1972,Empresario
35105443572,ERNESTO GRACIOTTI,SÃO PAULO,3,1972,Empresario
35105611661,FRANCISCO GOMES RELOGIOS,SÃO PAULO,3,1972,Empresario
35105643865,FRANCISCO RENZETTI,SÃO JOSÉ DO RIO PRETO,3,1972,Empresario
35105666814,FRUCTUOSO RODRIGUES PINTO,,3,1972,Empresario
35105671273,FUMIO KATO,,3,1972,Empresario
35105704171,GENTIL ZIDOI,DOIS CÓRREGOS,3,1972,Empresario
35105721904,GERALDO EMIDIO DOS SANTOS,SÃO PAULO,3,1972,Empresario
35105834334,HEIHACHI AKIMOTO,,3,1972,Empresario
35105881871,HERMINIO BERALDI,,3,1972,Empresario
35106096175,J.R. GUERRA,DIADEMA,3,1972,Empresario
35106252029,JOAO FERREIRA DE ALMEIDA,CAPÃO BONITO,3,1972,Empresario
35106391568,JOEL ERNESTO DA SILVA,AVARÉ,3,1972,Empresario
35106427589,JOSE ADEMIR FERREIRA,,3,1972,Empresario
35106468129,JOSE AZARIAS PEREIRA,VARGEM GRANDE DO SUL,3,1972,Empresario
35106508511,JOSE CARLOS SOARES,CAMPINAS,3,1972,Empresario
35106608893,JOSE GUEDES FILHO,SÃO PAULO,3,1972,Empresario
35106637371,JOSE LOURENCO PROENCA,,3,1972,Empresario
35106681779,JOSE MOREIRA BARBOSA - DROGARIA,NATIVIDADE DA SERRA,3,1972,Empresario
35106765239,JOSE THEAGO LEITE,,3,1972,Empresario
35106818618,JULIO CESAR MORAES PINTO,ATIBAIA,3,1972,Empresario
35106827048,JULIO PEREZ GONZALEZ,,3,1972,Empresario
35106908358,LAERCIO MANFREDI,SÃO PAULO,3,1972,Empresario
35106910557,LAERTE NEVES DE OLIVEIRA,,3,1972,Empresario
35106994823,LOURISVALDO DE MATOS,SÃO PAULO,3,1972,Empresario
35107005831,LUCIANO STRAMBI,SÃO PAULO,3,1972,Empresario
35107090642,LUIZ RAMOS DA SILVA,SÃO PAULO,3,1972,Empresario
35107112212,LUZANIRA MANTOVANE DA ROCHA,,3,1972,Empresario
35107273054,MARCILIANO ANTUNES DE LIMA,ITAPEVA,3,1972,Empresario
35107297280,MARIA APARECIDA ALBANES SAMPAIO,,3,1972,Empresario
35107333715,MARIA DAS GRACAS FERREIRA LOPES,,3,1972,Empresario
35107480700,MARIO UNEDA,SÃO PAULO,3,1972,Empresario
35107544228,MESSIAS VAZ,,3,1972,Empresario
35107587946,MILTON SANTANA,SÃO PAULO,3,1972,Empresario
35107599863,MITSUO SETAGAWA,SÃO PAULO,3,1972,Empresario
35107602392,MIWA KO SU SUKI,GUARULHOS,3,1972,Empresario
