NIRE,Empresa,Município,Month,Year,Type
35101104552,HUMBERTO DINIZ,,12,1970,Empresario
35101109554,MARIO OSWALDO CAPPELLETTI,PIRACICABA,12,1970,Empresario
35101120540,OLIEN BIANCARDI,ARARAQUARA,12,1970,Empresario
35101132971,ALICIO VILAR PONTES,VOTUPORANGA,12,1970,Empresario
35101133374,LUIS DOS SANTOS BATISTA,ARARAQUARA,12,1970,Empresario
35101134796,BENSAKU KOBAYASHI,,12,1970,Empresario
35101142586,ALIPIO HURTADO CONDE,ÁGUAS DA PRATA,12,1970,Empresario
35101511646,INACIO COSTARELLI,,12,1970,Empresario
35101513541,ANTONIO BENEDITO DE OLIVEIRA,,12,1970,Empresario
35101518926,ANTONIO ALAOR LOURENCO,,12,1970,Empresario
35101521366,FABIO ARNALDO ORTOLAN,SERTÃOZINHO,12,1970,Empresario
35101522753,ARNALDO VETTORAZZO,,12,1970,Empresario
35101524209,AMADO GARCIA GARCIA,PENÁPOLIS,12,1970,Empresario
35101528824,ALCIDES FRIGIERI,GUARIBA,12,1970,Empresario
35101537271,ARISTIDES GALLI,SÃO PAULO,12,1970,Empresario
35101538790,JAIR DI SANTI,,12,1970,Empresario
35101541324,CARLOS LEAO PEREIRA,,12,1970,Empresario
35101550005,ELIAS MIGUEL ARMARINHOS,VOTORANTIM,12,1970,Empresario
35101905644,FRANCISCO A.R. DE MORAES DOCES,,12,1970,Empresario
35101909526,ALBERTO JOSE SIQUEIRA,SÃO PAULO,12,1970,Empresario
35101917260,LUIZ INOUE,SÃO PAULO,12,1970,Empresario
35101917626,MARCO ANTONIO CORENO,BRAGANÇA PAULISTA,12,1970,Empresario
35101920121,JOAO FONTES FILHO,LENÇÓIS PAULISTA,12,1970,Empresario
35101920350,L.A. DE OLIVEIRA,BANANAL,12,1970,Empresario
35101921224,FERNANDO MANTOVANI,,12,1970,Empresario
35101924436,MARIO HIGUTI,,12,1970,Empresario
35101926994,SATOSHI MORITA,SÃO PAULO,12,1970,Empresario
35101927290,OSCAR LOUZADA,GUARIBA,12,1970,Empresario
35101932781,RAIMUNDO CARVALHO DA SILVA,SÃO PAULO,12,1970,Empresario
35101933311,DOMINGOS NIZUMA,MOGI DAS CRUZES,12,1970,Empresario
35101933621,JOAO APARECIDO AMANCIO,,12,1970,Empresario
35101933818,IRINEU A. ROMANI,PIRACICABA,12,1970,Empresario
35101935101,PAULO FERNANDO DE AQUINO ALMEIDA,GUARATINGUETÁ,12,1970,Empresario
35104047070,A SAMBINELLI,SÃO PAULO,12,1970,Empresario
35104078927,ACCIOLY PAULO DE SOUZA,SÃO PAULO,12,1970,Empresario
35104129611,ADOSINDA VALENTE DOS REIS,SÃO PAULO,12,1970,Empresario
35104146116,AGENOR NOGUEIRA,SÃO BERNARDO DO CAMPO,12,1970,Empresario
35104205520,ALCEU REGADO FERNANDES EIRAS,,12,1970,Empresario
35104268513,ALICE EUGENIA DA SILVA MICHILIN,LIMEIRA,12,1970,Empresario
35104272545,ALIPIO A. FERNANDES,SÃO PAULO,12,1970,Empresario
35104347341,ANACLETO AVELANEDA.,ÁLVARES MACHADO,12,1970,Empresario
35104466706,ANTONIO CARLOS BODZIAK,ANGATUBA,12,1970,Empresario
35104468091,ANTONIO CARLOS DA SILVA ALVES,CUBATÃO,12,1970,Empresario
35104487592,ANTONIO CUSTODIO DE BRITO,GASTÃO VIDIGAL,12,1970,Empresario
35104489854,ANTONIO DA FONSECA,,12,1970,Empresario
35104501242,ANTONIO DE OLIVEIRA DOS SANTOS NEVES,,12,1970,Empresario
35104502443,ANTONIO DE PADUA DA SILVA CAMPOS,PIRACICABA,12,1970,Empresario
35104593180,ANTONIO MARTINS FILHO ITAPIRA,,12,1970,Empresario
