NIRE,Empresa,Município,Month,Year,Type
35602694824,CATISSI TRANSPORTES EIRELI,CATANDUVA,6,2019,Grupo
35602707977,LUCINEIDE APARECIDA PESSOA ARAUJO EIRELI,SANTA RITA D'OESTE,6,2019,Grupo
35602708094,CK TRANSPORTES EIRELI,PEREIRA BARRETO,6,2019,Grupo
35602719070,PRATICA CONVENIENCIA EIRELI,CAFELANDIA,6,2019,Grupo
35602720167,L P IMPORTS COMERCIO DE ELETRONICOS EIRELI,IBATE,6,2019,Grupo
35602720531,CRCL CONSULTORIA EMPRESARIAL EIRELI,MARILIA,6,2019,Grupo
35602744732,R.M. INDUSTRIA MECANICA E USINAGEM EIRELI,SAO CARLOS,6,2019,Grupo
35602764229,"CBR HOTEL E SERVICOS - EIRELI ""EM RECUPERACAO JUDICIAL""",ALVARES MACHADO,6,2019,Grupo
35602766019,CONCEITO COMUNICACAO VISUAL EIRELI,BAURU,6,2019,Grupo
35602778653,COMFRIO TRANSPORTES EIRELI,JARINU,6,2019,Grupo
35602779757,MB BORSSARI MANUTENCAO ELETRICA EIRELI.,MOGI DAS CRUZES,6,2019,Grupo
35602781948,"SPAZIO TERRA CERAMICA, COMERCIO IMPORTACAO E EXPORTACAO EIRELI",MOGI-GUACU,6,2019,Grupo
35602783681,MCDONALD PELZ BRASIL CONSULTORIA EIRELI,SAO PAULO,6,2019,Grupo
35602795710,MEIA MEIA HOLDING PATRIMONIAL EIRELI,JAGUARIUNA,6,2019,Grupo
35602802058,"COPEM PRODUTOS QUIMICOS EIRELI ""SUSPENSO ADMINISTRATIVAMENTE""",DOURADO,6,2019,Grupo
35602802767,"BEST COMPANY CONSTRUTORA EIRELI ""INABILITADA PARA EXERCER ATIVIDADE EMPRESARIAL""",SAO PAULO,6,2019,Grupo
35602803054,HORTIFRUTI ANA MARIA EIRELI,EMBU DAS ARTES,6,2019,Grupo
35602804361,IMPARTECH COMERCIO DE EQUIPAMENTOS DE INFORMATICA EIRELI,CAMPINAS,6,2019,Grupo
