NIRE,Empresa,Município,Month,Year,Type
35500042321,MILTON CICERO FRANCO DE CAMARGO & CIA.,LEME,1,2002,Capital Industria
35500042321,MILTON CICERO FRANCO DE CAMARGO & CIA.,LEME,1,2002,Capital Industria
35300189396,TELETRIM TELECOM S.A.,MONCOES,1,2002,Sociedade por Acoes
35300189400,SANTANDER BRASIL ADVISORY SERVICES S.A.,SAO PAULO,1,2002,Sociedade por Acoes
35300189418,ELETROPAULO JK S.A.,SAO PAULO,1,2002,Sociedade por Acoes
35300189426,ITAUINT - ITAU PARTICIPACOES INTERNACIONAL S.A.,SAO PAULO,1,2002,Sociedade por Acoes
35300189434,MATAO PARTICIPACOES S.A.,MATAO,1,2002,Sociedade por Acoes
35300189442,GAZETA MERCANTIL LATINOAMERICANA S.A.,SAO PAULO,1,2002,Sociedade por Acoes
35300189451,FCS ADMINISTRACAO E PARTICIPACOES S/A,SAO JOSE DOS CAMPOS,1,2002,Sociedade por Acoes
35300189469,MICRO-CRED S.A. SOCIEDADE DE CREDITO AO MICROEMPREENDEDOR,SAO PAULO,1,2002,Sociedade por Acoes
35300189477,BIOENERGIA COGERAODRA S.A,SERTAOZINHO,1,2002,Sociedade por Acoes
35300189485,RIO BRAVO REALTY S.A,BARUERI,1,2002,Sociedade por Acoes
35300189493,NEW TOWER COMERCIO E PARTICIPACOES S.A.,SAO PAULO,1,2002,Sociedade por Acoes
35300189507,MUROLO PARTICIPACOES E EMPREENDIMENTOS S/A.,PAULINIA,1,2002,Sociedade por Acoes
35300189515,"PORTOSEG S/A-CREDITO, FINANCIAMENTO E INVESTIMENTO",SAO PAULO,1,2002,Sociedade por Acoes
35300189523,PRANDINE PARTICIPACOES S/A,SAO PAULO,1,2002,Sociedade por Acoes
35300189531,MINACIA EMPREENDIMENTOS E PARTICIPACOES S.A.,SAO PAULO,1,2002,Sociedade por Acoes
35300189558,INNOVAPACK GRAFICA E EDITORA S.A,ITAQUAQUECETUBA,1,2002,Sociedade por Acoes
35300189566,OPERA OMNIA S/A.,SAO PAULO,1,2002,Sociedade por Acoes
35300189574,FRANGOSUL S.A. - AGRO AVICOLA INDUSTRIAL,COTIA,1,2002,Sociedade por Acoes
35300189582,IT MIDIA S.A.,BARUERI,1,2002,Sociedade por Acoes
35300189591,AVOCENT DO BRASIL INFORMATICA S.A.,SAO PAULO,1,2002,Sociedade por Acoes
35300189604,BRASIL TERMINAL PORTUARIO S.A.,SANTOS,1,2002,Sociedade por Acoes
35300189612,ACCESSTAGE TECNOLOGIA S.A,SAO PAULO,1,2002,Sociedade por Acoes
35300189639,SANTOS PAR INVESTIMENTOS PARTICIPACOES E NEGOCIOS S.A.,SAO PAULO,1,2002,Sociedade por Acoes
35300189647,REMAPAR - PARTICIPACOES S/A,BARUERI,1,2002,Sociedade por Acoes
35300189655,UNIMAR SUPERMERCADOS S/A,,1,2002,Sociedade por Acoes
35300189663,RAINBOW WOODS DO BRASIL COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS S.A.,SAO PAULO,1,2002,Sociedade por Acoes
35300189671,STABILE PARTICIPACOES S.A.,SAO PAULO,1,2002,Sociedade por Acoes
35300189680,ASSISTENCIA MEDICA SAO PAULO S.A.,CAJAMAR,1,2002,Sociedade por Acoes
35300189701,SANTA MARIA IMOVEIS E EMPREENDIMENTOS S/A.,SAO PAULO,1,2002,Sociedade por Acoes
35300189710,AD'ORO S/A.,VARZEA PAULISTA,1,2002,Sociedade por Acoes
35300189728,LINEINVEST PARTICIPACOES S/A,SAO PAULO,1,2002,Sociedade por Acoes
35300189736,ZETA EULER S.A.,SAO PAULO,1,2002,Sociedade por Acoes
35300189744,MAXICRED S.A. PROMOTORA DE VENDAS E FOMENTO MERCANTIL,SAO PAULO,1,2002,Sociedade por Acoes
35300189752,COMPANHIA ENERGETICA PAULISTA,SOROCABA,1,2002,Sociedade por Acoes
35300189761,RBR PATRIMONIAL S/A.,SAO PAULO,1,2002,Sociedade por Acoes
35300189833,A&E PARTICIPACOES S/A,SAO PAULO,1,2002,Sociedade por Acoes
35300190823,COMPANHIA PAULISTA DE CONDOMINIO INDUSTRIAIS,ITU,1,2002,Sociedade por Acoes
35300194331,JAGUARI HOLDING S/A,SAO PAULO,1,2002,Sociedade por Acoes
35300194519,BODOMIN PARTICIPACOES S.A.,SANTANA DE PARNAIBA,1,2002,Sociedade por Acoes
35400065206,COOPERDEMA COOPERATIVA DE TRABALHO DOS PROFISSIONAIS NA PRESTACAO DE SERVICOS,DIADEMA,1,2002,Cooperativa
35400066881,"COOPERCONDO - COOPERATIVA DE TRANSPORTES ESCOLARES, DEFICIENTES E PASSAGEIROS (EM LIQUIDACAO)",PRESIDENTE PRUDENTE,1,2002,Cooperativa
35400069619,COOPERATIVA DE TRABALHO DOS PROFISSIONAIS DAS INDUSTRIAS QUIMICAS DO ESTADO DE SAO PAULO - COOPIQUIM,POA,1,2002,Cooperativa
35400069732,COOPERATIVA DE TRABALHOS DE ESPORTISTAS PRATICOS,SAO PAULO,1,2002,Cooperativa
35400069741,COSALT - COOPERATIVA DE SERVICOS LOCACOES E TRANSPORTES,SAO PAULO,1,2002,Cooperativa
35400069911,COOPERATIVA AGROPECUARIA TIMBORE DE ANDRADINA E CASTILHO.,ANDRADINA,1,2002,Cooperativa
35400069929,COOPCOLRE - COOPERATIVA DE TRABALHO DE PRIFISSIONAIS DE SERVICOS DE COLETAGEM DE LIXO RECICLAVEIS DO ESTADO DE SAO,CUBATAO,1,2002,Cooperativa
35400069937,COOPERATIVA DE CREDITO MUTUO DOS COMERCIANTES DE CONFECCAO DE BEBEDOURO E REGIAO - UNICOM BEBEDOURO,BEBEDOURO,1,2002,Cooperativa
