NIRE,Empresa,Município,Month,Year,Type
35100648559,JOAQUIM PEREIRA GONCALVES,,2,1980,Empresario
35100648702,ELIAS PAULO DA SILVA,CAMPINAS,2,1980,Empresario
35100648940,YOSHIKO KUBETA,,2,1980,Empresario
35100648966,MANOEL FRANCISCO MESSIAS,,2,1980,Empresario
35100649008,JOAO MIGUEL SANCHES PERIS,SÃO PAULO,2,1980,Empresario
35100649032,MUNIR SALHANI,GETULINA,2,1980,Empresario
35100649075,JAMIL FIDELIS,SÃO PAULO,2,1980,Empresario
35100649253,MARIA CONCEICAO PAQUES ARAUJO,,2,1980,Empresario
35100649423,WILMA FAVARATTI MORALES,,2,1980,Empresario
35100649547,GIZELA PAVLICIC CARDIM,,2,1980,Empresario
35100649628,JOAO AUGUSTO BARBOSA,,2,1980,Empresario
35100649661,CLAUDIO CANDINI,ITAJOBI,2,1980,Empresario
35100649776,OSCARINO FRANCISCO VERDELHO,,2,1980,Empresario
35100649873,ABRAO MAUAD FILHO,BAURU,2,1980,Empresario
35100650138,NEILA JOANA DE NOVAIS PEIXOTO,,2,1980,Empresario
35100650278,MANOEL SEVERINO DA SILVA,,2,1980,Empresario
35100650286,HERMOGENES SPINA ABA,RIO CLARO,2,1980,Empresario
35100650472,NELSON RIBEIRO ARACATUBA,ARAÇATUBA,2,1980,Empresario
35100650499,ORLANDO CARDOSO DE OLIVEIRA,ARTUR NOGUEIRA,2,1980,Empresario
35100650626,ANTONIO MAITO SOBRINHO,,2,1980,Empresario
35100650979,JOSE MACIEL DE LIMA BOTEQUIM,,2,1980,Empresario
35100651088,MARIA JOSE MACHADO DE OLIVEIRA,,2,1980,Empresario
35100651231,MARIA MANUELA ALMEIDA ALVES FERREIRA - BAR,MOGI DAS CRUZES,2,1980,Empresario
35100651291,ANTENOR FREGATTI,EMBAÚBA,2,1980,Empresario
35100651550,PEDRO FRANCISCO DE OLIVEIRA,SÃO PAULO,2,1980,Empresario
35100651746,CARMELA PIAIA FAGHERAZZI,MAUÁ,2,1980,Empresario
35100652017,JOSE SEVERINO PEPE,,2,1980,Empresario
35100652084,LUIZ MASUMOTO,BERTIOGA,2,1980,Empresario
35100652254,CLEUSA ALEXANDRE MALUF,,2,1980,Empresario
35100652351,ELZA DA SILVA BARDUQUE,PRESIDENTE PRUDENTE,2,1980,Empresario
35100652378,HELIO GONCALVES DE AGUIAR,NOVA CANAÃ PAULISTA,2,1980,Empresario
35100652416,OLGA DO PRADO,VÁRZEA PAULISTA,2,1980,Empresario
35100652424,DEOLINDO ESTEVAM OSCROVANI,OSASCO,2,1980,Empresario
35100652769,GILBERTO JORDAO,ESTIVA GERBI,2,1980,Empresario
35100652807,JORGE BRASILIO DA SILVA,PORTO FELIZ,2,1980,Empresario
35100652998,ANGELO JACOB ROLAND JUNIOR,PERUÍBE,2,1980,Empresario
35100653064,OSMAR FRANCISCO,SANTA ALBERTINA,2,1980,Empresario
35100653307,OLIVA CORREA BRANDAO,SÃO PAULO,2,1980,Empresario
35100653315,ANTONIO MANUEL DE FREITAS,,2,1980,Empresario
35100653447,RUBENS DELORENZO BARRETO,,2,1980,Empresario
35100653684,VANDERLEI DE ALMEIDA,SÃO PAULO,2,1980,Empresario
35100653731,ANTONIO AUGUSTO BOMBACH,GUARUJÁ,2,1980,Empresario
35100653935,MILTON VALDEMAR ALVES,CARAGUATATUBA,2,1980,Empresario
35100653986,JESUE TREVISAN,PRESIDENTE EPITÁCIO,2,1980,Empresario
35100654257,MARIA APARECIDA ARCURI MARINELLI,,2,1980,Empresario
35100654265,OROZIMBO SIMOES FONTES,ALVINLÂNDIA,2,1980,Empresario
35100654524,JOSE LUIZ ZANGO,ARAÇATUBA,2,1980,Empresario
35100654605,JOSE JOAO RIMOLDI,RIBEIRÃO PRETO,2,1980,Empresario
35100655148,MARIO DUTRA,RIBEIRÃO PRETO,2,1980,Empresario
35100655237,NEUZA NADIR FERRAZ ROSSETTO,BAURU,2,1980,Empresario
35100655261,VERGINIO MARTINS,SÃO JOAQUIM DA BARRA,2,1980,Empresario
35100655342,DEMETRE MICHEL DELIS,SARAPUÍ,2,1980,Empresario
35100655351,MARIA CANDIDA COELHO CARVALHO,ITAQUAQUECETUBA,2,1980,Empresario
35100655865,LUIZA IMADA,,2,1980,Empresario
35100655971,JOSE MATIAS DE LIMA,CAJAMAR,2,1980,Empresario
35100656349,JOSE MARIA SANTONI,SÃO CARLOS,2,1980,Empresario
35100656527,SALVADOR DA ROCHA LIMA,CLEMENTINA,2,1980,Empresario
35100656551,GERALDO VALDEVINO DA SILVA,SÃO PAULO,2,1980,Empresario
35100656594,MARIA DE LOURDES RUI,BAURU,2,1980,Empresario
35100656802,L. TRESMONDI SORVETES,,2,1980,Empresario
35100656870,J.L.GARCIA EDIFICAÇÕES,BARRETOS,2,1980,Empresario
35100656900,BOLIVAR LOZANO ABENCA,SÃO PAULO,2,1980,Empresario
35100656918,JOAO CAVALEIRO CENTENO,SÃO PAULO,2,1980,Empresario
35100657191,APARECIDA FATIMA MENDES DE ANDRADE,ITU,2,1980,Empresario
35100657213,OLAIR ANTONIO DE SOUZA,SANTO ANDRÉ,2,1980,Empresario
35100657612,DOMINGOS RIOS BRANDAO,GUARUJÁ,2,1980,Empresario
35100657876,LUIS CARLOS DOMINGUES PENAPOLIS,PENÁPOLIS,2,1980,Empresario
35100657914,MANUEL DA SILVA VILAS,SÃO PAULO,2,1980,Empresario
35100657957,NESTOR COLOMBO,SÃO BERNARDO DO CAMPO,2,1980,Empresario
35100658074,IRMO SALATINI,,2,1980,Empresario
35100658597,CARLOS CAMARGO RIBEIRO,CARAGUATATUBA,2,1980,Empresario
35100658724,KLEBER JOAO GONZALES,COSMÓPOLIS,2,1980,Empresario
35100658759,LUIZ CLAUDIO DE OLIVEIRA,ATIBAIA,2,1980,Empresario
35100658881,APARECIDA DE JESUS ANGELONI,,2,1980,Empresario
35100658902,MARIO MARTINS,SÃO JOAQUIM DA BARRA,2,1980,Empresario
35100659062,PAULINO PEREIRA MATIAS,,2,1980,Empresario
35100659101,TADAO HIRONAKA,SÃO PAULO,2,1980,Empresario
35100659364,ANTONIO SILVERIO ITU,ITU,2,1980,Empresario
35100659411,ROMILDA CONFORTE RAMOS,VOTUPORANGA,2,1980,Empresario
35100659488,ANTONIO METELI,COTIA,2,1980,Empresario
35100659542,EDVALDA DE SANTANA,GUARUJÁ,2,1980,Empresario
35100659623,EDILSON BARREIRO,,2,1980,Empresario
35100660788,JOSE LEITE SILVA,ARAÇATUBA,2,1980,Empresario
35100660818,VALENTIM APARECIDO AMARINS,,2,1980,Empresario
35100664139,DUVILIO DA COSTA DUARTE,ARARAQUARA,2,1980,Empresario
35100664490,CARLOS MARQUES MENEZES.,SÃO PAULO,2,1980,Empresario
35101006224,HERCILIA MARIA WARD RODRIGUES,,2,1980,Empresario
35200391215,COMERCIAL EXPORTADORA E IMPORTADORA MARUYANA LTDA.,SAO PAULO,2,1980,Empresario
35100659062,PAULINO PEREIRA MATIAS,,2,1980,Empresario
35100659101,TADAO HIRONAKA,SÃO PAULO,2,1980,Empresario
35100659364,ANTONIO SILVERIO ITU,ITU,2,1980,Empresario
35100659411,ROMILDA CONFORTE RAMOS,VOTUPORANGA,2,1980,Empresario
35100659488,ANTONIO METELI,COTIA,2,1980,Empresario
35100659542,EDVALDA DE SANTANA,GUARUJÁ,2,1980,Empresario
35100659623,EDILSON BARREIRO,,2,1980,Empresario
35100660788,JOSE LEITE SILVA,ARAÇATUBA,2,1980,Empresario
35100660818,VALENTIM APARECIDO AMARINS,,2,1980,Empresario
35100664139,DUVILIO DA COSTA DUARTE,ARARAQUARA,2,1980,Empresario
35100664490,CARLOS MARQUES MENEZES.,SÃO PAULO,2,1980,Empresario
35101006224,HERCILIA MARIA WARD RODRIGUES,,2,1980,Empresario
35200391215,COMERCIAL EXPORTADORA E IMPORTADORA MARUYANA LTDA.,SAO PAULO,2,1980,Empresario
35300006071,KLABIN DO PARANA MINERACAO S.A.,SAO PAULO,2,1980,Sociedade por Acoes
35300006186,EMBRACOM EMPREENDIMENTOS E PARTICIPACOES S.A.,SAO PAULO,2,1980,Sociedade por Acoes
35300006194,FENIX EMPREENDIMENTOS S.A.,SANTA BARBARA D'OESTE,2,1980,Sociedade por Acoes
35300006208,ROSSISA PARTICIPACOES S.A.,SAO PAULO,2,1980,Sociedade por Acoes
35300047788,VELUPRESS ESTAMPARIA DE PAPEIS E TECIDOS S.A.,SAO PAULO,2,1980,Sociedade por Acoes
35300006071,KLABIN DO PARANA MINERACAO S.A.,SAO PAULO,2,1980,Sociedade por Acoes
35300006186,EMBRACOM EMPREENDIMENTOS E PARTICIPACOES S.A.,SAO PAULO,2,1980,Sociedade por Acoes
35300006194,FENIX EMPREENDIMENTOS S.A.,SANTA BARBARA D'OESTE,2,1980,Sociedade por Acoes
35300006208,ROSSISA PARTICIPACOES S.A.,SAO PAULO,2,1980,Sociedade por Acoes
35300047788,VELUPRESS ESTAMPARIA DE PAPEIS E TECIDOS S.A.,SAO PAULO,2,1980,Sociedade por Acoes
35500001790,ANTONIO BALIEGO E CIA.,BERNARDINO DE CAMPOS,2,1980,Outros
35500001790,ANTONIO BALIEGO E CIA.,BERNARDINO DE CAMPOS,2,1980,Outros
31207285573,,SANTA BARBARA DOESTE,2,1980,Sociedade Limitada
31208801699,,BERTIOGA,2,1980,Sociedade Limitada
35200166467,AUTO VIDROS SOLYCAR LTDA.,SAO BERNARDO DO CAMPO,2,1980,Sociedade Limitada
35200398007,JULY COMERCIO E IMPORTACAO LTDA.,SAO PAULO,2,1980,Sociedade Limitada
35200513850,CACO EMPREENDIMENTOS IMOBILIARIOS E CONSTRUCOES LTDA,GUARIBA,2,1980,Sociedade Limitada
35200513876,MONTALL INSTALACOES E COMERCIO DE MATERIAIS HIDRAULICAS LTDA,SAO PAULO,2,1980,Sociedade Limitada
35200513884,VIMARCO DISTRIBUIDORA DE BEBIDAS LTDA,PORTO FELIZ,2,1980,Sociedade Limitada
35200513906,AUTO ESCOLA TECNICA POA LTDA.,POA,2,1980,Sociedade Limitada
35200513914,DI JOTA CONFECCOES LTDA,JUNDIAI,2,1980,Sociedade Limitada
35200513931,ACESSORIOS DE FARMACIA BIOFARMA LTDA,PINDAMONHANGABA,2,1980,Sociedade Limitada
35200513949,INTERMEC INDUSTRIA E COMERCIO LTDA,SAO CAETANO DO SUL,2,1980,Sociedade Limitada
35200513957,COMERCIO DE ROUPAS FEITAS DEL'LINI LTDA. - M.E.,SAO PAULO,2,1980,Sociedade Limitada
35200513965,TECELAGEM VILA AMERICANA LTDA.,AMERICANA,2,1980,Sociedade Limitada
35200513973,GESSO CAPITAL LTDA - M.E.,TABOAO DA SERRA,2,1980,Sociedade Limitada
35200514007,CENTRO DE FORMACAO DE CONDUTORES GUARULHOS LTDA.,GUARULHOS,2,1980,Sociedade Limitada
35200514104,IRMAOS YAMASAKI LTDA - M.E.,CRUZEIRO,2,1980,Sociedade Limitada
35200514121,D F PRODUCOES TEATRAIS E ARTISTICAS LTDA - M.E.,SAO PAULO,2,1980,Sociedade Limitada
35200514171,LIFE COMISSARIA DE DESPACHOS LTDA.,SAO PAULO,2,1980,Sociedade Limitada
35200514244,ARTEFATOS DE CIMENTO DOIS IRMAOS LTDA. - M.E.,SAO JOSE DOS CAMPOS,2,1980,Sociedade Limitada
35200514287,COMERCIAL KANGURU LTDA,SAO PAULO,2,1980,Sociedade Limitada
35200514295,POCOS ARTESIANOS MANUTENCAO TECNICA E COMERCIO PAMTEC LTDA,BAURU,2,1980,Sociedade Limitada
35200514384,ORNAVE INSUMOS AGROPECUARIOS LTDA,LEME,2,1980,Sociedade Limitada
35200514431,MANUELA - BAZAR LTDA,JUNDIAI,2,1980,Sociedade Limitada
35200514449,PANIFICADORA ARARENSE LTDA,ARARAS,2,1980,Sociedade Limitada
35200514465,DROGARIA TREBOR LTDA. - M.E.,SAO PAULO,2,1980,Sociedade Limitada
35200514511,PERFUMARIA APOLLO COMERCIO LTDA,TABOAO DA SERRA,2,1980,Sociedade Limitada
35200514562,DEPOSITO DE MATERIAL PARA CONSTRUCAO NOVELLO LTDA,PIRACICABA,2,1980,Sociedade Limitada
35200514635,EMPORIO PAULISTA DE PIRACICABA LTDA.,PIRACICABA,2,1980,Sociedade Limitada
35200514732,J.A. COMERCIAL TEXTIL LTDA.,AMERICANA,2,1980,Sociedade Limitada
35200514813,BRANDI PAPELARIA E LIVRARIA LTDA,ITAPETININGA,2,1980,Sociedade Limitada
35200514864,ESTANCIAS COURO LTDA.,AMPARO,2,1980,Sociedade Limitada
35200514911,PAPYTEX INDUSTRIA E COMERCIO DE PRODUTOS TEXTEIS LTDA.,SAO PAULO,2,1980,Sociedade Limitada
35200514929,VAGAI E VAGAI LTDA.,SAO BERNARDO DO CAMPO,2,1980,Sociedade Limitada
35200514953,MARTINS BERTHE E CIA LTDA,CARAPICUIBA,2,1980,Sociedade Limitada
35200514970,LEDA MEDEIROS MIRRA & CIA LTDA - M.E.,CACAPAVA,2,1980,Sociedade Limitada
35200514988,MOTEL NUAGE LTDA.,SANTO ANDRE,2,1980,Sociedade Limitada
35200514996,LANCHONETE 2001 LTDA. - M.E.,SAO PAULO,2,1980,Sociedade Limitada
35200515038,SFAY EQUIPAMENTOS INDUSTRIAIS LTDA,BARUERI,2,1980,Sociedade Limitada
35200515071,SOCIPRESS PRODUTOS GRAFICOS LTDA.,SAO PAULO,2,1980,Sociedade Limitada
35200515089,DIPLOMATA DISTRIBUIDORA DE BEBIDAS LTDA,SAO PAULO,2,1980,Sociedade Limitada
35200515101,FRANCO E MOURA LTDA.,POA,2,1980,Sociedade Limitada
35200515127,COMERCIO DE BEBIDAS ANGATUBA LTDA. - M.E.,ANGATUBA,2,1980,Sociedade Limitada
