NIRE,Empresa,Município,Month,Year,Type
35500024412,"DANTAS BARBOSA, SANTOS & CIA",SAO PAULO,4,1998,Capital Industria
35500024421,"ISABELLA, TERCEIRO & CIA",SAO PAULO,4,1998,Capital Industria
35500030064,PM SAO ROQUE INFORMATICA,SAO ROQUE,4,1998,Capital Industria
35500024412,"DANTAS BARBOSA, SANTOS & CIA",SAO PAULO,4,1998,Capital Industria
35500024421,"ISABELLA, TERCEIRO & CIA",SAO PAULO,4,1998,Capital Industria
35500030064,PM SAO ROQUE INFORMATICA,SAO ROQUE,4,1998,Capital Industria
35300154584,ARROBA'S S.A. FAZENDAS INTEGRADAS DE ENGORDA,SAO PAULO,4,1998,Sociedade por Acoes
35300154592,GLOBAL MOBILINEA S.A,JUNDIAI,4,1998,Sociedade por Acoes
35300154606,PATRIA INVESTIMENTOS IMOBILIARIOS S/A.,SAO PAULO,4,1998,Sociedade por Acoes
35300154614,PATENTE INDUSTRIA E COMERCIO S/A.,JAGUARIUNA,4,1998,Sociedade por Acoes
35300154622,NAPSA - NHANDEARA ADMINISTRACAO E PARTICIPACOES S.A.,NHANDEARA,4,1998,Sociedade por Acoes
35300154631,DELPHI PAR S/A.,SAO CAETANO DO SUL,4,1998,Sociedade por Acoes
35300154649,DANA PARISH PRODUTOS ESTRUTURAS S.A,,4,1998,Sociedade por Acoes
35300154657,IKPC - PARTICIPACOES S.A.,SAO PAULO,4,1998,Sociedade por Acoes
35300154665,ERA SETE EMPREENDIMENTOS E PARTICIPACOES S/A,SANTOS,4,1998,Sociedade por Acoes
35300154673,GPU SAO PAULO S.A.,SAO PAULO,4,1998,Sociedade por Acoes
35300154681,DEL VALLE S/A,GUARATINGUETA,4,1998,Sociedade por Acoes
35300154690,SB - MAGMA TELECOMUNICACOES S.A,SAO PAULO,4,1998,Sociedade por Acoes
35300154703,COMPANHIA NOVA PAULISTA DE ENERGIA,SAO PAULO,4,1998,Sociedade por Acoes
35300154711,BR 471 PARTICIPACOES S/A,SAO PAULO,4,1998,Sociedade por Acoes
35300154720,"CATERPILLAR FINANCIAL S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO",SAO PAULO,4,1998,Sociedade por Acoes
